Example,Commodity Title
Fleetware software,Materials requirements planning logistics and supply chain software
Four Soft 4S eLog,Materials requirements planning logistics and supply chain software
Four Soft 4S VisiLog,Materials requirements planning logistics and supply chain software
Freight Rail Crew Optimization Scheduling FRCOS software,Analytical or scientific software
Geometrix,Materials requirements planning logistics and supply chain software
HighJump Software Warehouse Advantage,Materials requirements planning logistics and supply chain software
IBM i2 Transportation Manager,Materials requirements planning logistics and supply chain software
IMSure Solutions SHIPflex,Analytical or scientific software
Infosite Technologies Dispatch-Mate,Materials requirements planning logistics and supply chain software
Infosite Technologies DM Warehousing,Inventory management software
Integrated Decision Support Corporation Expert Fuel,Materials requirements planning logistics and supply chain software
Integrated Decision Support Corporation Netwise Supply Chain,Materials requirements planning logistics and supply chain software
Integrated Decision Support Corporation Route Advice,Route navigation software
Integrated Decision Support Corporation Swap Advice,Materials requirements planning logistics and supply chain software
Integrated Decision Support Match Advice,Analytical or scientific software
Integrated Decision Support Netwise Enterprise,Analytical or scientific software
Integrated Decision Support Netwise Frontline,Analytical or scientific software
IntelliTrack 3PL,Materials requirements planning logistics and supply chain software
IntelliTrack Warehouse Management System (WMS),Materials requirements planning logistics and supply chain software
Intergraph GeoMedia Transportation Manager,Route navigation software
Inventory management systems,Inventory management software
Iptor Supply Chain,Inventory management software
Labelmaster Software REG-Trieve,Data base user interface and query software
Logility Voyager WarehousePRO,Inventory management software
Logisuite Enterprise,Materials requirements planning logistics and supply chain software
Logisuite Forwarder,Materials requirements planning logistics and supply chain software
Materials requirements planning logistics and supply chain software,Materials requirements planning logistics and supply chain software
Materials resource planning MRP software,Materials requirements planning logistics and supply chain software
MRA Technologies MRATrack Warehouse Management System,Inventory management software
Optimization software,Analytical or scientific software
Oracle E-Business Suite Logistics,Materials requirements planning logistics and supply chain software
Presentation software,Presentation software
QUALCOMM QTRACS,Analytical or scientific software
QUALCOMM ViaWeb,Analytical or scientific software
Radio Beacon WMS,Materials requirements planning logistics and supply chain software
RedPrairie DLx Warehouse,Materials requirements planning logistics and supply chain software
SAP Business Objects,Data base reporting software
SAP ERP Operations,Enterprise resource planning ERP software
Scanlon Associates LogPak,Compliance software
Sentai Pinpoint,Inventory management software
Shipping Solutions,Compliance software
Spreadsheet software,Spreadsheet software
SSA Global Warehouse Management System WMS,Materials requirements planning logistics and supply chain software
Summary Systems Fleet Commander,Materials requirements planning logistics and supply chain software
Supply chain event management software,Materials requirements planning logistics and supply chain software
TECSYS EliteSeries,Materials requirements planning logistics and supply chain software
TECSYS PointForce Enterprise,Materials requirements planning logistics and supply chain software
TMW PowerSuite,Enterprise resource planning ERP software
Transportation management system TMS software,Mobile location based services software
Transtek Compass ERP,Enterprise resource planning ERP software
UPS WorldShip,Materials requirements planning logistics and supply chain software
