Example,Commodity Title
VIA Information Tools MAN-IT,Industrial control software
Wilcox Associates PC-DMIS,Analytical or scientific software
Optical imaging systems,Graphics or photo imaging software
SPMLab,Analytical or scientific software
ANSYS Mechanical,Analytical or scientific software
Computerized numerical control CNC programming software,Industrial control software
Intellisense Intellisuite,Analytical or scientific software
PTC Pro/ENGINEER Mechanica,Computer aided design CAD software
Soft Servo Systems LadderWorks PLC,Industrial control software
Spectral Dynamics Star Acoustics,Analytical or scientific software
Spectral Dynamics Star Modal,Analytical or scientific software
TekSoft CAMWorks,Computer aided manufacturing CAM software
Three-dimensional 3D solid modeling software,Computer aided manufacturing CAM software
A&D Technology iTest,Analytical or scientific software
Fractal Concept SoftScan,Analytical or scientific software
GE Sensing & Inspection Technologies Rhythm UT,Analytical or scientific software
National Instruments DAQ Assistant,Analytical or scientific software
National Instruments NI Motion Assistant,Computer aided manufacturing CAM software
National Instruments NI Vision Builder for Automated Inspection AI,Analytical or scientific software
Visualization Sciences Group VSG Avizo Fire,Analytical or scientific software
Visualization Sciences Group VSG Open Inventor,Graphics or photo imaging software
ZEMAX Optical Design Program,Computer aided design CAD software
3D Nature LLC Visual Nature Studio,Computer aided design CAD software
3D Nature LLC World Construction Set,Computer aided design CAD software
Adobe Acrobat Writer,Word processing software
Autodesk AutoCAD Map 3D,Computer aided design CAD software
CARIS HIPS,Analytical or scientific software
CARIS SIPS,Analytical or scientific software
Datalog with guidance DLWG software,Analytical or scientific software
Desktop digital photogrammetry system DDPS,Map creation software
Digital elevation model DEM software,Analytical or scientific software
ESRI ArcCatalog,Geographic information system
ESRI ArcGIS (analytical or scientific feature),Geographic information system
ESRI ArcToolbox,Geographic information system
ESRI Maplex,Geographic information system
ESRI MapObjects,Geographic information system
ESRI Personal Geodatabase,Geographic information system
Foresoft CDS Cogo,Analytical or scientific software
Foresoft CDS Model,Analytical or scientific software
Hexagon Geospatial Imagine Photogrammetry,Map creation software
IMAGINE OrthoBASE,Map creation software
Low-level driver LLD software,Analytical or scientific software
MENSI 3Dipsos,Computer aided design CAD software
MicroSurvey OfficeSync,Analytical or scientific software
MicroSurvey Star*Net,Data base reporting software
Modeling software,Analytical or scientific software
Muncy Plat Pronto,Map creation software
PCI Geomatics eCognition,Categorization or classification software
PCI Geomatics software,Analytical or scientific software
TELEDYNE CARIS,Map creation software
Trimble Digital Fieldbook,Map creation software
Trimble GPS Pathfinder Office,Map creation software
Trimble TerraSync,Geographic information system
Trimble Total Control,Analytical or scientific software
Tripod Data Systems COGO,Map creation software
Tripod Data Systems Foresight,Computer aided design CAD software
Tripod Data Systems software,Analytical or scientific software
Triton Elics International Isis,Analytical or scientific software
TRS Software TomCADD,Computer aided design CAD software
Best Linear Unbiased Prediction BLUP,Analytical or scientific software
Cowculator,Analytical or scientific software
COWGAME,Analytical or scientific software
DAGRIS,Data base user interface and query software
Deoxyribonucleic acid DNA sequence analysis software,Analytical or scientific software
Domestic Animal Diversity Information Service DAD-IS,Data base user interface and query software
FEEDLOT CALC,Analytical or scientific software
Master Ration Calculator,Analytical or scientific software
Nutrition Balance Analyzer NUTBAL,Analytical or scientific software
Online Mendelian Inheritance in Animals OMIA,Data base user interface and query software
VSNi ASReml,Analytical or scientific software
VSNi GenStat,Analytical or scientific software
BioDiscovery ImaGene,Analytical or scientific software
MDS Analytical Technologies GenePix Pro,Analytical or scientific software
PathogenTracker,Data base user interface and query software
Sensory Computer Systems SIMS,Analytical or scientific software
U.S. Department of Agriculture USDA National Nutrient Database,Data base user interface and query software
3dMapper,Analytical or scientific software
Erosion Productivity Impact Calculator EPIC,Analytical or scientific software
European Soil Erosion Model EUROSEM,Analytical or scientific software
GEOEAS,Analytical or scientific software
GSLIB,Analytical or scientific software
Gstat,Analytical or scientific software
LandSerf,Analytical or scientific software
National Resources Conservation Service NRCS PEDON Description Program PDP,Data base user interface and query software
National Resources Conservation Service NRCS Soils Explorer,Data base user interface and query software
National Soil Information System NASIS,Data base user interface and query software
PC-Progress HYDRUS,Analytical or scientific software
PedonCE,Data base user interface and query software
SGeMS,Analytical or scientific software
Soil information databases,Data base user interface and query software
SoilVision Systems SVOFFICE,Data base user interface and query software
SPAW,Analytical or scientific software
UNSATFLOW,Analytical or scientific software
Variogram Estimation and Spatial Prediction plus Error Vesper,Analytical or scientific software
Water Erosion Prediction Project WEPP,Analytical or scientific software
Accelrys Cerius2,Analytical or scientific software
Accelrys FELIX,Analytical or scientific software
Accelrys Insight II,Computer aided design CAD software
Accelrys QAUNTA,Analytical or scientific software
Analysis and building software,Analytical or scientific software
Assisted model building with energy refinement AMBER,Analytical or scientific software
AutoQuant AutoDeblur,Graphics or photo imaging software
Carrier-mediated transport software,Analytical or scientific software
Chang Bioscience ToolKit,Analytical or scientific software
ChemInnovation Software Chem 4-D,Computer aided design CAD software
Chemistry at Harvard Molecular Mechanics CHARMm,Analytical or scientific software
Crystallography & NMR System (CNS),Analytical or scientific software
Crystallography software,Analytical or scientific software
Docking and ligand binding software,Analytical or scientific software
Electronic lab notebook software,Analytical or scientific software
Elsevier MDL ISIS/Draw,Graphics or photo imaging software
ESRI What if?,Geographic information system
Expression DNA and protein sequence software,Analytical or scientific software
Fujitsu BioMedCache,Analytical or scientific software
Fujitsu MOPAC,Analytical or scientific software
GE Healthcare ImageQuant TL,Graphics or photo imaging software
Genetics computer group GSG software,Analytical or scientific software
GEPASI,Analytical or scientific software
Golden Helix ChemTree,Data mining software
Golden Helix HelixTree,Data mining software
Hodgkin-Huxley Model software,Analytical or scientific software
Intelligent Imaging Innovations SlideBook,Graphics or photo imaging software
ItemTracker,Inventory management software
JustBio SeqPainter,Graphics or photo imaging software
Macroscopic diffusion software,Analytical or scientific software
Molecular Devices Corporation MetaFluor,Graphics or photo imaging software
Molecular Devices Corporation MetaMorph,Graphics or photo imaging software
Molecular Networks GmbH Biochemical Pathways,Information retrieval or search software
Molecular Simulations WebLab ViewerPro,Graphics or photo imaging software
Multivariate statistical program MVSP software,Analytical or scientific software
PREMIER Biosoft Array Designer,Analytical or scientific software
Semichem AMPAC,Analytical or scientific software
Sequence database software,Data base user interface and query software
Shrodinger Jaguar,Analytical or scientific software
Tripos SYBYL,Analytical or scientific software
Voltage-gated ion channels software,Analytical or scientific software
Wavefunction Spartan,Analytical or scientific software
Wavefunction Titan,Analytical or scientific software
Yet another scientific artificial reality application YASARA software,Analytical or scientific software
Assistant Software for Antimicrobial Susceptibility Interpretation ASASI,Analytical or scientific software
BD Biosciences CellQuest,Analytical or scientific software
BD Biosciences CloneCyt,Analytical or scientific software
Bruker Optics OPUS,Analytical or scientific software
BtB Software Mycobacteriology Lab,Analytical or scientific software
Codon Usage Database,Analytical or scientific software
ComBase,Information retrieval or search software
Computer Service & Support CLS-2000 Laboratory System,Medical software
Computing Solutions LabSoft LIMS Micro,Analytical or scientific software
Database management software,Data base user interface and query software
DM2 Bills of Lading,Analytical or scientific software
FindTarget,Analytical or scientific software
FramePlot,Analytical or scientific software
Gene Finder,Analytical or scientific software
Gene recognition software,Analytical or scientific software
Genie Interactive,Analytical or scientific software
Image capture and analysis software,Analytical or scientific software
NetLims AutoLims,Analytical or scientific software
Orchard Software Orchard Harvest LIS,Medical software
Pathogen Modeling Program PMP,Analytical or scientific software
PIBWin,Analytical or scientific software
PredictProtein,Analytical or scientific software
Proscan,Analytical or scientific software
Protein databases,Analytical or scientific software
Protein Explorer,Analytical or scientific software
ProtScale,Analytical or scientific software
STARLIMS,Analytical or scientific software
TreeView,Analytical or scientific software
Verity Software House ModFit LT,Analytical or scientific software
WHONET,Data base user interface and query software
Computer modeling software,Analytical or scientific software
HATPRO,Analytical or scientific software
Accelrys Pipeline Pilot,Analytical or scientific software
Apache Accumulo,Data base user interface and query software
Bioconductor software,Data base user interface and query software
Biomatters Geneious,Analytical or scientific software
BioPerl,Analytical or scientific software
BLAT,Analytical or scientific software
BWA,Analytical or scientific software
Canu,Analytical or scientific software
dbSNP,Analytical or scientific software
DNA sequencing software,Analytical or scientific software
ENSEMBL,Analytical or scientific software
GenBank,Analytical or scientific software
Genedata Expressionist,Analytical or scientific software
GenePattern,Analytical or scientific software
Life Technologies SOLiD,Analytical or scientific software
Life Technologies Vector NTI,Analytical or scientific software
NCBI RefSeq,Analytical or scientific software
Primer3,Analytical or scientific software
Public genomic databases,Analytical or scientific software
RNA sequencing software,Analytical or scientific software
Roche 454 Life Sciences GS Data Analysis,Analytical or scientific software
Teradata software,Data base user interface and query software
TIBCO Spotfire S+,Business intelligence and data analysis software
Velvet,Analytical or scientific software
AcaClone pDRAW32,Analytical or scientific software
Agilent CGH Analytics,Analytical or scientific software
Agilent Technologies GeneSpring GX,Analytical or scientific software
Blast Output Browser BOB,Analytical or scientific software
CRI-MAP,Analytical or scientific software
Delila,Analytical or scientific software
Deoxyribonucleic acid DNA libraries,Data base user interface and query software
EnzymeX,Analytical or scientific software
FASTA,Analytical or scientific software
FASTLINK,Analytical or scientific software
Gene Recognition and Assembly Internet Link GRAIL,Analytical or scientific software
Genotyping software,Analytical or scientific software
Geospiza GeneSifter,Analytical or scientific software
Mendel,Analytical or scientific software
Michigan State University MSU ProFlex,Analytical or scientific software
NetPrimer,Analytical or scientific software
RasMol,Analytical or scientific software
Textco BioSoftware Gene Inspector,Analytical or scientific software
Bioinformatics databases,Data base user interface and query software
HapMap,Data base user interface and query software
Plate reader software,Medical software
RTI International SUDAAN,Analytical or scientific software
SAS/Genetics,Analytical or scientific software
BioKin PlateKi,Analytical or scientific software
Blue Tractor Software DNADynamo,Analytical or scientific software
CUBIC,Analytical or scientific software
EMBOSS,Analytical or scientific software
Excavator,Analytical or scientific software
FoldX,Analytical or scientific software
Gene Codes Sequencher,Analytical or scientific software
Ingenuity Systems Ingenuity Pathways Analysis,Analytical or scientific software
JaMBW,Analytical or scientific software
Joint Prediction of Operons JPOP,Analytical or scientific software
MacVector,Analytical or scientific software
Meyer Instruments Optimas,Analytical or scientific software
NAMD,Analytical or scientific software
Partek Incorporated Partek Genomics Suite,Analytical or scientific software
Phrap,Analytical or scientific software
Phred,Analytical or scientific software
RepeatMasker,Analytical or scientific software
SequentiX TreeMe,Analytical or scientific software
sim4,Analytical or scientific software
SoftZymics VisualEnzymics,Analytical or scientific software
SURFDriver Software WinSURF,Analytical or scientific software
The Mathworks SimBiology,Analytical or scientific software
VayTek VoxBlast,Analytical or scientific software
Visual Molecular Dynamics VMD,Analytical or scientific software
Clover Technology GALENA,Analytical or scientific software
CroPMan,Data base user interface and query software
CropSyst Suite,Analytical or scientific software
Datasurge GEOPRO,Analytical or scientific software
Delft GeoSystems MStab,Analytical or scientific software
GEO-SLOPE SEEP/W,Analytical or scientific software
GFA2D,Analytical or scientific software
HYDRUS-2D,Analytical or scientific software
Interstudio Geo-Tec B,Analytical or scientific software
Landscape Management System LMS,Analytical or scientific software
Mitre Software GSLOPE,Analytical or scientific software
Salix Applied Earthcare Erosion Draw,Analytical or scientific software
Studio of Analytical Models STANMOD,Analytical or scientific software
U.S. Department of Agriculture USDA WinSRM,Analytical or scientific software
USDA Forest Vegetation Simulator FVS,Analytical or scientific software
Water resources databases,Data base user interface and query software
Water Soil and Hydro-Environmental Decision Support System WATERSHEDSS,Analytical or scientific software
WinEPIC,Analytical or scientific software
Aquatic Plant Information Retrieval System APIRS,Analytical or scientific software
Automated Geospatial Watershed Assessment AGWA,Analytical or scientific software
BehavePlus,Analytical or scientific software
Clark Labs IDRISI Selva,Analytical or scientific software
CorridorDesigner,Map creation software
ESSA Technologies Path Landscape Model,Analytical or scientific software
ESSA TechnologiesTool for Exploratory Landscape Scenario Analyses TELSA,Analytical or scientific software
FARSITE,Analytical or scientific software
FEAT/Firemon integrated FFI,Analytical or scientific software
Fire Spread Probability FSPro,Analytical or scientific software
FlamMap,Analytical or scientific software
Fuel Characteristic Classification System FCCS,Analytical or scientific software
National Resources Conservation Service Ecological Site Information System ESIS,Data base user interface and query software
National Resources Conservation Service Grazing Spatial Analysis Tool,Analytical or scientific software
National Resources Conservation Service Web Soil Survey WSS,Data base user interface and query software
Parbat,Analytical or scientific software
RSAC Riparian Mapping Tool,Map creation software
Satellite image databases,Data base user interface and query software
The Nature Conservancy Weed Information Management System WIMS,Data base user interface and query software
United Nations Food and Agriculture Organization Livestock and Environment Toolbox LEAD,Analytical or scientific software
University of Arizona RangeView,Analytical or scientific software
USDA Comet,Analytical or scientific software
"USDA Database for Inventory, Monitoring and Assessment (DIMA)",Analytical or scientific software
USDA NRCS Soil Data Viewer,Map creation software
USDA NRCS VegSpec,Data base user interface and query software
USDA SamplePoint,Analytical or scientific software
Viper Tools,Analytical or scientific software
Forest Metrix,Inventory management software
Forest vegetation simulators,Analytical or scientific software
Forest yield software,Analytical or scientific software
Fountains Forestry TwoDog,Inventory management software
SMART service management and route tracking software,Data base user interface and query software
Trimble CENGEA,Enterprise resource planning ERP software
Centers for Disease Control and Prevention CDC WONDER,Data base user interface and query software
Centers for Disease Control and Prevention Epi Info,Analytical or scientific software
Circle Systems Stat/Transfer,Analytical or scientific software
Cytel Egret,Analytical or scientific software
Disease Mapping and Analysis Program DMAP,Analytical or scientific software
Epicenter Software Epilog,Analytical or scientific software
EpiData Analysis,Analytical or scientific software
GeoDa,Analytical or scientific software
HiroSoft EPICURE,Analytical or scientific software
Meta-analysis with interactive explanations MIX,Analytical or scientific software
National Institute for Occupational Safety and Health NIOSH Life Table Analysis System,Analytical or scientific software
Pan American Health Organization SIGEpi,Analytical or scientific software
SaTScan,Analytical or scientific software
Signal detection software,Analytical or scientific software
Statistical processing software,Analytical or scientific software
TerraSeer ClusterSeer,Analytical or scientific software
World Health Organization HealthMapper,Analytical or scientific software
BioArray Software Environment BASE,Analytical or scientific software
Medical Scientists HybridAI,Analytical or scientific software
Medical Scientists MediSave,Analytical or scientific software
PerkinElmer TurboMass,Analytical or scientific software
Thermo ToxLab,Analytical or scientific software
Triple G ULTRA Laboratory Information System,Analytical or scientific software
Waters Empower 2,Data base user interface and query software
Waters MassLynx,Analytical or scientific software
Waters Millennium32,Analytical or scientific software
Waters Q-DIS/QM LIMS,Analytical or scientific software
Abstraction plus reference plus synthesis A++,Development environment software
Adaptive optics AO simulation software,Analytical or scientific software
Analyze,Analytical or scientific software
Astronomical Image Processing for Windows AIP4WIN,Analytical or scientific software
Astronomical Image Processing System AIPS,Analytical or scientific software
Astronomical information processing system AIPS++,Analytical or scientific software
Avis Fits Viewer,Graphics or photo imaging software
Data reduction software,Analytical or scientific software
Diffraction Limited MaxIm DL,Analytical or scientific software
European Southern Observatory Munich Image Data Analysis System ESO-MIDAS,Analytical or scientific software
Fortran,Object or component oriented development software
IRIS,Graphics or photo imaging software
MSB Software Astroart,Analytical or scientific software
Multipurpose Interactive Image Processing System MIIPS,Analytical or scientific software
Software Bisque CCDSoft,Analytical or scientific software
Spectroscopy databases,Data base user interface and query software
Starcal,Analytical or scientific software
Adobe Audition,Music or sound editing software
CERN Physics Analysis Workstation PAW,Analytical or scientific software
CERN ROOT,Analytical or scientific software
Criss Software XRF11,Analytical or scientific software
Database application software,Data base user interface and query software
Dose modeling software,Analytical or scientific software
Experimental Physics and Industrial Control System EPICS,Analytical or scientific software
Lenox Softworks VideoPoint,Video creation and editing software
Microsoft Visual J++,Development environment software
OpenStack,Cloud-based management software
OriginLab Origin,Analytical or scientific software
Ploticus,Graphics or photo imaging software
Radiation dose calculation software,Analytical or scientific software
REDUCE,Analytical or scientific software
RibbonSoft QCad,Computer aided design CAD software
RSI interactive data language IDL software,Analytical or scientific software
SciGraphica,Analytical or scientific software
SciLab,Analytical or scientific software
Scribus,Desktop publishing software
Spectral Dynamics STAR,Analytical or scientific software
SQLite,Data base management system software
Synergy Software KaleidaGraph,Analytical or scientific software
Vector Fields OPERA-3d,Analytical or scientific software
Xfig,Graphics or photo imaging software
xv,Graphics or photo imaging software
AccuWeather Galileo,Graphics or photo imaging software
Advanced Visual Systems AVS/Express,Graphics or photo imaging software
Air quality modeling software,Analytical or scientific software
Aninoquisi MesoTRAC,Analytical or scientific software
Baron Services FasTrac,Analytical or scientific software
Baron Volumetric Imaging and Processing of Integrated Radar VIPIR,Analytical or scientific software
Cave5D,Analytical or scientific software
Environmental Research Services RAOB,Analytical or scientific software
Ferret,Analytical or scientific software
Flow Analysis Software Toolkit FAST,Analytical or scientific software
Grid analysis and display system GrADS,Analytical or scientific software
Image editing software,Graphics or photo imaging software
Interactive radar analysis software IRAS,Analytical or scientific software
Lakes Environmental Software WRPLOT View,Analytical or scientific software
Mesoscale modeling software,Analytical or scientific software
PC Weather Products HURRTRAK,Analytical or scientific software
SatView,Analytical or scientific software
SVRPLOT,Analytical or scientific software
Unidata GEMPAK,Analytical or scientific software
Unidata Gempak Analysis and Rendering Program GARP,Analytical or scientific software
Unidata Integrated Data Viewer IDV,Analytical or scientific software
Unidata McIDAS-X,Analytical or scientific software
Vis5d+,Analytical or scientific software
VorTek Site Assessment of Tornado Threat SATT,Analytical or scientific software
WINGRIDDS,Analytical or scientific software
WSI Titan,Analytical or scientific software
WSI TrueView Professional,Analytical or scientific software
Accelrys DeCipher,Analytical or scientific software
Advanced Chemistry Development ACD/1D nuclear magnetic resonance NMR processor,Analytical or scientific software
Apple iWork,Office suite software
Bruker BioSpin TopSpin,Analytical or scientific software
CambridgeSoft ChemOffice Ultra,Data base user interface and query software
Chem2Pac,Analytical or scientific software
Chemical kinetics software,Analytical or scientific software
ChemSW Buffer Maker,Data base user interface and query software
ChemSW Calibration Pro,Analytical or scientific software
ChemSW Chemical Inventory System CIS,Inventory management software
ChemSW Laboratory Document Control System LDCS,Document management software
ChemSW Mass Spec Tools,Analytical or scientific software
ChemSW Molecular Modeling Pro,Computer aided design CAD software
ChemSW Uncertainty Pro,Analytical or scientific software
Conversion tools software,Analytical or scientific software
CrystalMaker,Analytical or scientific software
Density functional theory DFT software,Analytical or scientific software
Digital imaging software,Graphics or photo imaging software
Gas chromatograph GS software,Analytical or scientific software
Hypercube HyperChem,Computer aided design CAD software
JDA Arthur KnowledgeBase database,Data base user interface and query software
LabTrack Electronic Lab Notebook,Analytical or scientific software
Logger software,Data base user interface and query software
MolDraw,Graphics or photo imaging software
Molsearch Pro,Data base user interface and query software
MSI Insight/Discover,Analytical or scientific software
Multi-functional calculators,Analytical or scientific software
NeoOffice,Office suite software
Network Science IR Mentor Pro,Analytical or scientific software
Organic synthesis planning software,Analytical or scientific software
Q-Chem,Analytical or scientific software
SciQuest PE TurboChrom,Analytical or scientific software
Siemens SHELXTL,Analytical or scientific software
Synthematix StructureSearch,Analytical or scientific software
UBI Biotracker,Inventory management software
Vogel Scientific Software Group CALACO,Analytical or scientific software
Waters Empower Chromatography Data Software,Analytical or scientific software
Accelrys Materials Studio,Analytical or scientific software
Advanced Chemistry Development Analytical Laboratory,Analytical or scientific software
Bruker AXS EVA,Analytical or scientific software
Bruker AXS LEPTOS,Analytical or scientific software
Bruker AXS TOPAS,Analytical or scientific software
Chempute Software HSC Chemistry,Analytical or scientific software
GAMESS-US,Analytical or scientific software
General Structural Analysis System GSAS,Analytical or scientific software
International Centre for Diffraction Data ICDD DDView,Data base user interface and query software
Materials Data Incorporated Jade,Analytical or scientific software
Multichannel microelectrode analyzer MMA software,Analytical or scientific software
Olympus Image Analysis,Analytical or scientific software
PANalytical X'Pert Data Collector,Analytical or scientific software
PANalytical X'Pert Epitaxy,Analytical or scientific software
PWscf,Analytical or scientific software
RIETAN,Analytical or scientific software
SolidWorks COSMOSWorks,Analytical or scientific software
Stewart Computational Chemistry MOPAC,Analytical or scientific software
VAMP/VASP,Analytical or scientific software
ADMS pollution modeling software,Analytical or scientific software
CAP88-PC,Analytical or scientific software
CERC EMIT,Analytical or scientific software
Chemical management tracking software,Data base user interface and query software
Chemicals and Irrigation CANDI,Analytical or scientific software
Compass software,Analytical or scientific software
DataPipe EHS,Data base user interface and query software
DQO ELIPGRID-PC,Analytical or scientific software
EarthSoft EQuIS Geology,Data base user interface and query software
Ecotech WinAQMS,Compliance software
Ecotech WinCollect,Analytical or scientific software
Emissions tracking software,Compliance software
Golden Software Surfer,Map creation software
Hotspot,Analytical or scientific software
Lakes Environmental EcoRisk View,Analytical or scientific software
Lakes Environmental Emissions View,Data base user interface and query software
Lakes Environmental ISC-AERMOD View,Analytical or scientific software
Lakes Environmental SLAB View,Analytical or scientific software
Link Microtek,Analytical or scientific software
MIRS Compliance,Compliance software
Rad Pro Calculator,Analytical or scientific software
RSA RadCalc,Analytical or scientific software
Smart Data Solutions RS Solutions,Data base user interface and query software
SoundPLAN,Analytical or scientific software
TANKS,Analytical or scientific software
Tucows ChemBase,Data base user interface and query software
Wolfel IMMI,Analytical or scientific software
Community Climate System Model CCSM,Analytical or scientific software
NCAR Command Language NCL,Development environment software
North American Regional Climate Change Assessment Program NARCCAP data tables,Information retrieval or search software
Unidata Network common data form NetCDF,Development environment software
IWR-PLAN,Analytical or scientific software
Economic Input-Output Life Cycle Assessment EIO-LCA,Analytical or scientific software
Production Flow Analysis and Simplification Toolkit PFAST,Analytical or scientific software
Productivity software,Project management software
Sales Automation Software,Sales and marketing software
Substance Flow Analysis STAN,Analytical or scientific software
ACD Systems Canvas,Graphics or photo imaging software
Alara CRystalView,Analytical or scientific software
Aquifer test software,Analytical or scientific software
Atoll GeoCAD,Computer aided design CAD software
Bentley Systems gINT,Analytical or scientific software
Bilko,Analytical or scientific software
BOSS Didger,Data conversion software
ChemStat,Analytical or scientific software
Data logger software,Analytical or scientific software
Data mining software,Analytical or scientific software
EarthWorks Downhole Explorer,Analytical or scientific software
Earthworks MaxiPit,Analytical or scientific software
EasySolve Software SizePerm,Analytical or scientific software
Enigma software,Analytical or scientific software
EPIC GIS,Analytical or scientific software
Evolution Computing EasyCAD,Computer aided design CAD software
Evolution Computing FastCAD,Computer aided design CAD software
Field data recorder software,Analytical or scientific software
Gemcom GEMS,Analytical or scientific software
Geo-Logic Systems LithoTect Interpreter,Analytical or scientific software
GeoModel,Analytical or scientific software
GeoPLUS Petra,Data base user interface and query software
Geosoft DAP server,Data base user interface and query software
Geosoft Oasis montaj,Map creation software
Geospatial data abstraction library GDAL,Map creation software
Geostatistical modeling GSTAT software,Analytical or scientific software
Geostatistics software GS+,Analytical or scientific software
Gresens 92,Analytical or scientific software
Groundwater modeling system GMS,Analytical or scientific software
Groundwater Vistas,Analytical or scientific software
Hydrogeology Basin2,Analytical or scientific software
HydroSOLVE AQTESOLV,Analytical or scientific software
IHS Energy PowerTools,Analytical or scientific software
Interpex IXID,Analytical or scientific software
IRIS Seismic Processing Workshop,Analytical or scientific software
Landmark VIP,Analytical or scientific software
MHC Document Express,Document management software
MICRODEM,Map creation software
Midland Valley 3DMove,Computer aided design CAD software
MineGeo software,Map creation software
MIT OASES,Analytical or scientific software
MJ Systems Logsleuth,Data base user interface and query software
National Geophysical Data Center GEODAS,Analytical or scientific software
OpenOffice.org,Office suite software
PaleoMag,Analytical or scientific software
Paleontological Statistics PAST,Analytical or scientific software
PaleoTax,Analytical or scientific software
Paradigm SKUA-GOCAD,Computer aided design CAD software
Parameter Estimation PEST,Analytical or scientific software
PolyMap,Analytical or scientific software
PowerCAD,Computer aided design CAD software
Red Rock DeltaGraph,Analytical or scientific software
RockWare ChemFlux,Analytical or scientific software
Rockware CrossLog,Analytical or scientific software
RockWare DepthCon2000,Analytical or scientific software
RockWare Erupt,Analytical or scientific software
RockWare FIRSTPIX,Analytical or scientific software
RockWare Geochemist's Workbench GWB,Analytical or scientific software
RockWare GeoTrig,Analytical or scientific software
RockWare GRADIX,Analytical or scientific software
RockWare Grav2Dc,Analytical or scientific software
RockWare Jlog,Analytical or scientific software
RockWare MicroMODEL,Analytical or scientific software
RockWare Plan,Analytical or scientific software
RockWare Potent,Analytical or scientific software
RockWare QuickSyn,Analytical or scientific software
RockWare RockPack III,Analytical or scientific software
RockWare RockWorks,Geographic information system
RockWare Stratbugs,Data base user interface and query software
RockWare VEGO,Analytical or scientific software
RockWare Visual STUNT,Analytical or scientific software
RockWare WinSism,Analytical or scientific software
SACLANTCEN,Map creation software
Schlumberger Inside Reality,Computer aided design CAD software
Scientific Software Group FEFLOW,Analytical or scientific software
Scientific Software Group Infinite Extent,Analytical or scientific software
Scientific Software Group SVHeat,Analytical or scientific software
SeeByte SeeTrack,Analytical or scientific software
Seismic interpretation software,Analytical or scientific software
Seismic Micro-Technology KINGDOM,Analytical or scientific software
Seismic visualization software,Analytical or scientific software
Shape software,Analytical or scientific software
Socorro Scientific Software Refract2K,Analytical or scientific software
Solvcalv,Analytical or scientific software
Starpint Software Super Slug,Analytical or scientific software
StrainSim,Analytical or scientific software
TECHBASE,Analytical or scientific software
Terrain surface mapping software,Map creation software
Triton Elics International SeaClass,Analytical or scientific software
Upperspace DesignCAD,Computer aided design CAD software
Upperspace ModelCAD,Computer aided design CAD software
Waterloo Hydrogeologic AquaChem,Analytical or scientific software
Waterloo Hydrogeologic FlowPath II,Analytical or scientific software
Well logging software,Analytical or scientific software
Advanced Logic Technology WellCAD,Computer aided design CAD software
Amtec Engineering Tecplot,Graphics or photo imaging software
Argus ONE Open Numerical Environments,Analytical or scientific software
Biodegration flow and transport modeling software,Analytical or scientific software
BOSS International Visual Groundwater,Computer aided design CAD software
ChemStat,Data base user interface and query software
EarthVision,Analytical or scientific software
Electric Rain Swift 3D,Analytical or scientific software
EnviroData Solutions,Analytical or scientific software
EnviroInsite,Presentation software
Environmental Software and Services SUTRA,Analytical or scientific software
Fitts Geosolutions TWODAN,Analytical or scientific software
Formlink HydroGEN,Analytical or scientific software
GAEA Technologies Packet ESA,Word processing software
GAEA Technologies WinLog,Word processing software
GIS/Solutions GIS/Key,Data base user interface and query software
Golden Software Strater,Analytical or scientific software
Groundwater Software QuickCross/Fence,Analytical or scientific software
Groundwater Software QuickLog,Analytical or scientific software
Groundwater Software Visual Site Manager,Data base user interface and query software
HEC-2,Analytical or scientific software
Integrated Environmental Services 3D Master,Computer aided design CAD software
Logger data manager LDM,Analytical or scientific software
Logplot software,Analytical or scientific software
Microsoft Windows Vista Business,Operating system software
MLPU,Analytical or scientific software
National pollutant discharge elimination system NPDES compliance software,Compliance software
PRINCE,Analytical or scientific software
Revised universal soil loss equation RUSLE software,Analytical or scientific software
River Lake Altimetry Product,Data base user interface and query software
RockWare SieveGraph,Graphics or photo imaging software
Satellite database software,Data base user interface and query software
Scientific Software Group 3DFATMIC,Computer aided design CAD software
Scientific Software Group 3DFEMFAT,Computer aided design CAD software
Scientific Software Group AQUA3D,Analytical or scientific software
Scientific Software Group AquaDyn,Analytical or scientific software
Scientific Software Group AQUASEA,Analytical or scientific software
Scientific Software Group Aquifer win32,Analytical or scientific software
Scientific Software Group AQUIPACK,Analytical or scientific software
Scientific Software Group AT123D,Analytical or scientific software
Scientific Software Group BIO1D,Analytical or scientific software
Scientific Software Group BIOF&T,Analytical or scientific software
Scientific Software Group BIOSLURP,Analytical or scientific software
Scientific Software Group BioTrends,Analytical or scientific software
Scientific Software Group CHASM,Analytical or scientific software
Scientific Software Group ChemGraph,Data base user interface and query software
Scientific Software Group DTM,Map creation software
Scientific Software Group Enviro-Base Pro,Data base user interface and query software
Scientific Software Group EnviroScape,Analytical or scientific software
Scientific Software Group EVS,Computer aided design CAD software
Scientific Software Group Filter Drain FD,Analytical or scientific software
Scientific Software Group GFLOW,Analytical or scientific software
Scientific Software Group HydroGeo Analyst,Analytical or scientific software
Scientific Software Group HYDROGEOCHEM,Analytical or scientific software
Scientific Software Group MARS 2-D/3-D,Analytical or scientific software
Scientific Software Group MIDUSS,Analytical or scientific software
Scientific Software Group MINTEQA2,Analytical or scientific software
Scientific Software Group MOCDENSE,Analytical or scientific software
